Unnamed: 0,headline,url,publisher,date,stock,finbert_score,vader_score,Period
947654,Stocks That Hit 52-Week Highs On Wednesday,https://www.benzinga.com/news/20/02/15365364/stocks-that-hit-52-week-highs-on-wednesday,Lisa Levin,2020-02-19 15:32:10+00:00,OESX,0.0,0.0,Before
612862,Stocks That Hit 52-Week Lows On Friday,https://www.benzinga.com/news/20/02/15441854/stocks-that-hit-52-week-lows-on-friday,Lisa Levin,2020-02-28 15:16:30+00:00,HFWA,-0.927557647228241,-0.2023,Before
712714,"Johnson Outdoors Earlier Reported Q1 EPS $0.64 Beats $0.49 Estimate, Sales $128.054M Beat $107.62M Estimate",https://www.benzinga.com/news/earnings/20/01/15226889/johnson-outdoors-earlier-reported-q1-eps-0-64-beats-0-49-estimate-sales-128-054m-beat-107-62m-estim,Benzinga Newsdesk,2020-01-31 14:12:10+00:00,JOUT,0.7614051699638367,0.0,Before
382854,60 Stocks Moving In Wednesday's Mid-Day Session,https://www.benzinga.com/news/20/03/15480359/60-stocks-moving-in-wednesdays-mid-day-session,Lisa Levin,2020-03-04 17:11:30+00:00,DRRX,0.0,0.0,Before
917893,Stocks That Hit 52-Week Lows On Thursday,https://www.benzinga.com/news/20/02/15376000/stocks-that-hit-52-week-lows-on-thursday,Lisa Levin,2020-02-20 15:54:04+00:00,NRT,-0.9335403442382812,-0.2023,Before
515828,Stocks That Hit 52-Week Lows On Friday,https://www.benzinga.com/news/20/02/15441854/stocks-that-hit-52-week-lows-on-friday,Lisa Levin,2020-02-28 15:16:30+00:00,FRBK,-0.927557647228241,-0.2023,Before
517173,First Merchants Q4 EPS $0.87 Beats $0.85 Estimate,https://www.benzinga.com/news/earnings/20/01/15216728/first-merchants-q4-eps-0-87-beats-0-85-estimate,Benzinga Newsdesk,2020-01-30 13:15:06+00:00,FRME,0.0,0.0,Before
802293,75 Stocks Moving In Wednesday's Mid-Day Session,https://www.benzinga.com/news/20/02/15419050/75-stocks-moving-in-wednesdays-mid-day-session,Lisa Levin,2020-02-26 17:18:55+00:00,MATX,0.0,0.0,Before
305702,Stocks That Hit 52-Week Lows On Friday,https://www.benzinga.com/news/20/03/15498904/stocks-that-hit-52-week-lows-on-friday,Lisa Levin,2020-03-06 16:22:40+00:00,CSFL,-0.927557647228241,-0.2023,Before
776960,KeyBanc Downgrades LogMeIn to Sector Weight,https://www.benzinga.com/news/20/01/15065840/keybanc-downgrades-logmein-to-sector-weight,Benzinga_Newsdesk,2020-01-03 11:22:12+00:00,LOGM,-0.8865600228309631,0.0,Before
