Unnamed: 0,headline,url,publisher,date,stock,finbert_score,vader_score,Period
701262,"Communication Systems Reports Its Suttle Subsidiary To Sell Remainder Of Its Business Lines To Oldcastle Infrastructure, No Terms Disclosed",https://www.benzinga.com/news/20/03/15527383/communication-systems-reports-its-suttle-subsidiary-to-sell-remainder-of-its-business-lines-to-oldca,Benzinga Newsdesk,2020-03-11 14:38:50+00:00,JCS,0.0,-0.296,Before
287169,"CounterPath Reports Halo Health Selects Co. For Healthcare Clinical Collaboration Solution, No Terms Disclosed",https://www.benzinga.com/news/20/03/15557617/counterpath-reports-halo-health-selects-co-for-healthcare-clinical-collaboration-solution-no-terms-d,Benzinga Newsdesk,2020-03-16 12:57:01+00:00,CPAH,0.0,0.0258,Before
819673,Stocks That Hit 52-Week Lows On Friday,https://www.benzinga.com/news/20/02/15441854/stocks-that-hit-52-week-lows-on-friday,Lisa Levin,2020-02-28 15:16:30+00:00,MERC,-0.927557647228241,-0.2023,Before
1349972,Stocks That Hit 52-Week Lows On Friday,https://www.benzinga.com/news/20/01/15228049/stocks-that-hit-52-week-lows-on-friday,Lisa Levin,2020-01-31 16:00:53+00:00,WF,-0.927557647228241,-0.2023,Before
1271630,UK Foreign Minister Urging Holding Emergency UN Security Council Session Fri. Following Attack Of Turkish Soldiers In Syria,https://www.benzinga.com/news/20/02/15441723/uk-foreign-minister-urging-holding-emergency-un-security-council-session-fri-following-attack-of-tur,Benzinga Newsdesk,2020-02-28 15:05:47+00:00,TUR,-0.589056670665741,-0.5106,Before
406641,Mid-Afternoon Market Update: Dow Edges Lower; Aethlon Medical Shares Plunge,https://www.benzinga.com/news/earnings/20/01/15145451/mid-afternoon-market-update-dow-edges-lower-aethlon-medical-shares-plunge,Lisa Levin,2020-01-17 20:24:53+00:00,EDN,-0.9496590495109558,0.0,Before
1315640,Stocks That Hit 52-Week Lows On Monday,https://www.benzinga.com/news/20/03/15560273/stocks-that-hit-52-week-lows-on-monday,Benzinga Newsdesk,2020-03-16 15:51:23+00:00,VLRS,-0.9388940334320068,-0.2023,Before
824447,Stocks That Hit 52-Week Lows On Thursday,https://www.benzinga.com/news/20/03/15538835/stocks-that-hit-52-week-lows-on-thursday,Lisa Levin,2020-03-12 16:10:12+00:00,MGU,-0.9335403442382812,-0.2023,Before
1016091,95 Biggest Movers From Yesterday,https://www.benzinga.com/news/20/02/15425355/95-biggest-movers-from-yesterday,Lisa Levin,2020-02-27 10:18:51+00:00,PLOW,0.0,0.0,Before
997619,Stocks That Hit 52-Week Lows On Wednesday,https://www.benzinga.com/news/20/03/15528100/stocks-that-hit-52-week-lows-on-wednesday,Lisa Levin,2020-03-11 15:41:58+00:00,PER,-0.9351032376289368,-0.2023,Before
409586,Stocks That Hit 52-Week Highs On Friday,https://www.benzinga.com/news/20/01/15144632/stocks-that-hit-52-week-highs-on-friday,Lisa Levin,2020-01-17 18:23:17+00:00,EFSC,0.0,0.0,Before
967556,Stocks That Hit 52-Week Highs On Wednesday,https://www.benzinga.com/news/20/01/15208936/stocks-that-hit-52-week-highs-on-wednesday,Lisa Levin,2020-01-29 15:16:13+00:00,OTEX,0.0,0.0,Before
1290715,Stocks That Hit 52-Week Highs On Thursday,https://www.benzinga.com/news/20/02/15324640/stocks-that-hit-52-week-highs-on-thursday,Lisa Levin,2020-02-13 15:26:42+00:00,UHT,0.0,0.0,Before
614733,38 Stocks Moving in Wednesday's Pre-Market Session,https://www.benzinga.com/news/20/03/15477033/38-stocks-moving-in-wednesdays-pre-market-session,Lisa Levin,2020-03-04 12:18:06+00:00,HIIQ,0.0,0.0,Before
690186,Stocks That Hit 52-Week Lows On Thursday,https://www.benzinga.com/news/20/03/15607641/stocks-that-hit-52-week-lows-on-thursday,Lisa Levin,2020-03-19 14:49:42+00:00,IX,-0.9335403442382812,-0.2023,Before
967894,"The Daily Biotech Pulse: Setback For DBV In Peanut Allergy Patch Review, Roche Starts Coronavirus Test Shipment, Regeneron Aims For 'Cocktail' COVID-19 Treatment",https://www.benzinga.com/general/biotech/20/03/15567007/the-daily-biotech-pulse-setback-for-dbv-in-peanut-allergy-patch-review-roche-starts-coronavirus-t,Shanthi Rexaline,2020-03-17 12:48:35+00:00,OTIC,0.650577962398529,0.0,Before
743956,Stocks That Hit 52-Week Lows On Thursday,https://www.benzinga.com/news/20/03/15538835/stocks-that-hit-52-week-lows-on-thursday,Lisa Levin,2020-03-12 16:10:12+00:00,KRG,-0.9335403442382812,-0.2023,Before
293094,Stocks That Hit 52-Week Lows On Thursday,https://www.benzinga.com/news/20/03/15607641/stocks-that-hit-52-week-lows-on-thursday,Lisa Levin,2020-03-19 14:49:42+00:00,CR,-0.9335403442382812,-0.2023,Before
687500,86 Stocks Moving In Friday's Mid-Day Session,https://www.benzinga.com/news/20/02/15443828/86-stocks-moving-in-fridays-mid-day-session,Lisa Levin,2020-02-28 17:19:47+00:00,IVAC,-0.46351364254951477,-0.3818,Before
89525,Loop Capital Upgrades ArcBest to Buy,https://www.benzinga.com/news/20/03/15465844/loop-capital-upgrades-arcbest-to-buy,Vick Meyer,2020-03-03 13:29:33+00:00,ARCB,0.0,0.0,Before
